Date,Price,Open,High,Low,Vol.,Change %,Company,Year,Month,Day,Spread
2024-11-19,417.79,413.11,417.94,411.55,18130000.0,0.49,3,2024,11,19,6.389999999999986
2024-11-20,202.88,202.98,203.13,199.45,32770000.000000004,-0.85,0,2024,11,20,3.680000000000007
2024-11-20,175.98,177.34,177.68,173.78,19000000.0,-1.2,1,2024,11,20,3.9000000000000057
2024-11-20,565.52,562.93,566.35,554.2,9800000.0,0.79,2,2024,11,20,12.149999999999977
2024-11-20,415.49,416.87,417.29,410.58,19190000.0,-0.55,3,2024,11,20,6.710000000000036
2024-11-21,198.38,203.49,203.49,195.75,58800000.0,-2.22,0,2024,11,21,7.740000000000009
2024-11-21,167.63,173.9,174.13,163.7,59730000.0,-4.74,1,2024,11,21,10.430000000000007
2024-11-21,563.09,569.52,570.0,549.05,11150000.0,-0.43,2,2024,11,21,20.950000000000045
2024-11-21,412.87,419.5,419.78,410.29,20780000.0,-0.63,3,2024,11,21,9.489999999999952
2024-11-22,197.12,198.25,199.26,196.75,31530000.0,-0.64,0,2024,11,22,2.509999999999991
2024-11-22,164.76,165.85,166.46,163.9,38600000.0,-1.71,1,2024,11,22,2.5600000000000023
2024-11-22,559.14,563.55,563.83,554.59,9160000.0,-0.7,2,2024,11,22,9.240000000000009
2024-11-22,417.0,411.36,417.4,411.06,24810000.0,1.0,3,2024,11,22,6.339999999999975
2024-11-25,201.45,199.28,201.95,199.0,40690000.0,2.2,0,2024,11,25,2.9499999999999886
2024-11-25,167.65,166.09,168.63,165.61,33140000.0,1.75,1,2024,11,25,3.019999999999982
2024-11-25,565.11,562.1,572.59,556.39,13600000.0,1.07,2,2024,11,25,16.200000000000045
2024-11-25,418.79,418.38,421.08,414.85,27690000.0,0.43,3,2024,11,25,6.229999999999961
2024-11-26,207.86,201.9,208.0,201.79,41670000.0,3.18,0,2024,11,26,6.210000000000008
2024-11-26,169.12,167.63,169.82,167.58,20490000.0,0.88,1,2024,11,26,2.2399999999999807
2024-11-26,573.54,566.0,577.5,565.2,10360000.0,1.49,2,2024,11,26,12.299999999999955
2024-11-26,427.99,419.58,429.04,418.85,23460000.0,2.2,3,2024,11,26,10.189999999999998
2024-11-27,205.74,206.98,207.64,205.05,28060000.0,-1.02,0,2024,11,27,2.589999999999975
2024-11-27,169.23,169.0,169.48,168.02,19270000.0,0.07,1,2024,11,27,1.4599999999999795
2024-11-27,569.2,574.89,574.98,564.1,7200000.0,-0.76,2,2024,11,27,10.879999999999995
2024-11-27,422.99,425.11,427.23,422.02,18330000.0,-1.17,3,2024,11,27,5.210000000000036
2024-11-29,207.89,205.83,208.2,204.59,24890000.0,1.05,0,2024,11,29,3.609999999999985
2024-11-29,168.95,168.5,169.43,167.16,14260000.0,-0.17,1,2024,11,29,2.2700000000000102
2024-11-29,574.32,569.0,578.46,566.9,7130000.0,0.9,2,2024,11,29,11.56000000000006
2024-11-29,423.46,420.09,424.88,417.8,16270000.0,0.11,3,2024,11,29,7.079999999999984
2024-12-02,210.71,209.96,212.99,209.51,39520000.0,1.36,0,2024,12,2,3.480000000000018
2024-12-02,171.49,168.76,172.07,168.57,23790000.0,1.5,1,2024,12,2,3.5
2024-12-02,592.83,577.5,594.5,575.57,12520000.0,3.22,2,2024,12,2,18.92999999999995
2024-12-02,430.98,421.57,433.0,421.31,20210000.0,1.78,3,2024,12,2,11.689999999999998
2024-12-03,213.44,210.31,214.02,209.65,32210000.0,1.3,0,2024,12,3,4.3700000000000045
2024-12-03,171.34,171.49,172.68,170.85,22250000.0,-0.09,1,2024,12,3,1.8300000000000125
2024-12-03,613.65,595.0,614.2,591.25,14910000.0,3.51,2,2024,12,3,22.950000000000045
2024-12-03,431.2,429.84,432.47,427.74,18300000.0,0.05,3,2024,12,3,4.730000000000018
2024-12-04,218.16,215.96,220.0,215.75,48750000.0,2.21,0,2024,12,4,4.25
2024-12-04,174.37,171.15,174.91,171.06,31620000.0,1.77,1,2024,12,4,3.8499999999999943
2024-12-04,613.78,612.96,617.78,605.1,14700000.0,0.02,2,2024,12,4,12.67999999999995
2024-12-04,437.42,433.03,439.67,432.63,26010000.0,1.44,3,2024,12,4,7.0400000000000205
2024-12-05,220.55,218.03,222.15,217.3,41140000.0,1.1,0,2024,12,5,4.849999999999994
2024-12-05,172.64,175.36,176.06,172.33,21360000.0,-0.99,1,2024,12,5,3.7299999999999898
2024-12-05,608.93,617.08,619.9,607.05,8080000.0,-0.79,2,2024,12,5,12.850000000000023
2024-12-05,442.62,437.92,444.66,436.17,21700000.0,1.19,3,2024,12,5,8.490000000000009
2024-12-06,227.03,220.75,227.15,220.6,44180000.0,2.94,0,2024,12,6,6.550000000000011
2024-12-06,174.71,172.03,175.08,171.86,21460000.0,1.2,1,2024,12,6,3.219999999999999
2024-12-06,623.77,610.1,629.79,608.53,16940000.0,2.44,2,2024,12,6,21.25999999999999
2024-12-06,443.57,442.3,446.1,441.77,18820000.0,0.21,3,2024,12,6,4.330000000000041
2024-12-09,226.09,227.21,230.08,225.67,46820000.0,-0.41,0,2024,12,9,4.410000000000025
2024-12-09,175.37,173.96,176.26,173.65,25390000.0,0.38,1,2024,12,9,2.609999999999985
2024-12-09,613.57,623.92,626.4,606.17,11430000.0,-1.64,2,2024,12,9,20.230000000000018
2024-12-09,446.02,442.6,448.33,440.5,19140000.0,0.55,3,2024,12,9,7.829999999999984
2024-12-10,225.04,226.09,229.06,224.2,31200000.0,-0.46,0,2024,12,10,4.860000000000014
2024-12-10,185.17,182.85,186.36,181.05,54810000.0,5.59,1,2024,12,10,5.310000000000002
2024-12-10,619.32,617.56,625.59,612.74,10940000.0,0.94,2,2024,12,10,12.850000000000023
2024-12-10,443.33,444.39,449.62,441.6,18470000.0,-0.6,3,2024,12,10,8.019999999999982
2024-12-11,230.26,226.41,231.2,226.26,35390000.0,2.32,0,2024,12,11,4.939999999999998
2024-12-11,195.4,185.31,195.61,184.85,67890000.0,5.52,1,2024,12,11,10.76000000000002
2024-12-11,632.68,623.37,638.4,621.53,10840000.0,2.16,2,2024,12,11,16.870000000000005
2024-12-11,448.99,444.05,450.35,444.05,19200000.0,1.28,3,2024,12,11,6.300000000000011
2024-12-12,228.97,229.83,231.09,227.63,28200000.0,-0.56,0,2024,12,12,3.460000000000008
2024-12-12,191.96,195.0,195.18,191.71,34820000.0,-1.76,1,2024,12,12,3.469999999999999
2024-12-12,630.79,631.5,636.66,627.21,7470000.0,-0.3,2,2024,12,12,9.449999999999932
2024-12-12,449.56,449.11,456.16,449.11,20830000.0,0.13,3,2024,12,12,7.050000000000011
2024-12-13,227.46,228.4,230.2,225.86,28770000.0,-0.66,0,2024,12,13,4.339999999999975
2024-12-13,189.82,191.01,192.73,189.64,25140000.0,-1.11,1,2024,12,13,3.0900000000000034
